SMILES,Molar Mass/Molecular Weight,Density,Melting point,Boiling point,Solubility in water,Vapor pressure,Hydroxyl,Carboxyl,Ester,Primary Amine,Amide,Ether,Alkene,Alkyne,Azo,Nitro,Nitrile,Benzene,Fluoro,Anhydride
C#N,27.025 g/mol,0.6875 g/cm3,-13.28 C,25.63 C,Miscible,630 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
C1=CC=CC=C1,78.11 g/mol,0.8756 g/cm3,5.558 C,80 C,3 %,19.5 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C1CC2=CC=CC=C2N1,119.16 g/mol,1.063 g/mL,-21 C,220 C,5 g/L,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C1CCC=CC1,82.14 g/mol,0.81 g/cm3,-154 F ,181 F,Insoluble,67 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C=O,30.026 g/mol,0.815 g/cm3,-92C,-19.1C,Miscible,1.067,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC,30.07 g/mol,1.3562 g/L,-88.6 C,-183 C,60.2 mg/L,3850kPa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(C)=O,58.08 g/mol,0.791 g/cm3,-137 F,133 F,Miscible ,231.0 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(C)C,58.12 g/mol,0.557 g/cm3,-427.5 F,-11.7 C,,2610.0 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(C)CC=O,86.13 g/mol,0.785 g/cm3,-60 F,92.5 C,Slightly soluble,50 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(C)OC=O,88.11 g/mol,0.8728 g/cm3,-80 C,68.2 C ,Slightly soluble,138.0 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(N)=O,59.07 g/mol,1.16 g/cm3,180.1 F,430 F,2250 mg/mL,0.0182 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(O)C#N,71.08 g/mol,0.991 g/mL,-40 C,221 C,Miscible,10 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CC(O)CC=O,88.11 g/mol,1.103 g/cm3,,83 C,Miscible,21 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC=O,44.05 g/mol,0.78g/cm3,-123.4 C,20.8 C,miscible,902 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC1=CC=CC(C)=C1,106.16 g/mol,0.8698 g/cm3,-47.85 C,25.0 C,146 mg/L,8.29 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CC1=CC=CC=C1,92.14 g/mol,0.8623 g/cm3,-94.9C,110.6C,526mg/L,28.4 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CC1=CNC=N1,82.10 g/mol,1.0416g/cm3,56 C,263 C,,0.01 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCC(F)(F)F,98.07 g/mol,1.038 g/cm3,-148C,-12C,,2770 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CCC#N,55.08 g/mol,772 mg/mL,-91.8 C,97.2 C,0.119,40 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CCCC(=O)CC,100.16 g/mol,0.812-0.818,-55.5 C,124.00 C,slightly soluble,13.9 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCC(=O)OC,102.13 g/mol,,-85.8 C,102.8 C,15 mg/mL,32.3 mmHg,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCC#N,69.11 g/mol,0.7936mg/ml,-112 C,117.5 C,3 %,20.68 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CCCCC,72.15 g/mol,0.6262 g/cm3,-129.67 C,36.06 C,38 mg/L,514 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCCC#N,83.13 g/mol,0.8008 g/cm3,,-141 F,1 to 5 mg/mL,7.3 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CCCCC=O,86.13 g/mol,0.811g/cm3,-132.7 F,103C,1.4  g/100ml,26.0 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCCCC(C)O,116.20 g/mol,0.82g/cm3,,160 C,slightly soluble in water,1.23 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCCCC(O)CC,130.23 g/mol,,-45.00 C,175.00 C,insoluble in water,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCCCCCCC,128.25 g/mol,0.718g/cm3,-53.47 C,150.47 C,0.220 mg/L,4.45mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCCOC=O,88.11 g/mol,0.9 g/cm3,-92.9 C,80.00C,soluble,82.6 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCOC(=O)CC,102.13 g/mol,0.891 g/cm3,-73.9 C,99.2 C,19.2 mg/mL,35.9 mmHg,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCOC=O,74.08 g/mol,0.917 g/cm3,        -80 C,54.0 C ,0.09,200 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CN(C)C(N)=O,88.11 g/mol,1.255 g/cm3,182 C,,soluble in water,0.44 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
